,joint1,joint2,joint3,joint4,joint5,joint6,X_axis,Y_axis,Z_axis
204,-148725,24371,-8891,7953,-19181,-26155,-86886,-47935,264167
205,-148725,75224,-35213,7116,-40714,-24655,-237625,-135731,288711
206,-148667,86517,-48143,8256,-37546,-24655,-288828,-166513,293788
207,-148621,45887,-47970,8187,11330,-23786,-142086,-89638,398794
208,-148621,14077,-16431,8388,4809,-23786,-61089,-38561,287132
209,-155071,4035,-9760,9297,-3823,-23670,-47120,-20524,272401
210,-152301,4152,-9760,9352,-3839,-23612,-46221,-23147,272319
211,-101839,4152,-9760,9293,-3786,-23612,-11558,-50405,272240
212,-96700,4152,-9760,9293,-44526,-23612,-12069,-14411,323537
213,-96700,4027,-12673,9514,-52043,-23612,-11450,4182,343813
214,-96700,3984,-66376,-840,3485,-26428,18928,161811,502772
215,-96700,3804,-81115,-710,26328,-26374,24770,215130,507102
216,-96758,3697,-102004,-5396,62060,-26375,26662,289233,478589
217,-96706,3697,-102004,-15385,13945,-26381,36048,356415,509488
218,-96706,3697,-102004,-15236,-37234,-27676,64213,422202,476952
219,-96757,3749,-107921,-15676,-41084,-28189,70092,454204,455471
220,-96811,3697,-107996,-16708,2072,-27653,47689,407245,495985
221,-96702,13328,-107501,-16074,48220,-27653,13187,273199,539936
222,-96702,44397,-107035,-16215,31634,-24929,-9986,29216,642619
223,-96761,46623,-58706,-13057,-6409,-25065,-15481,-150077,485464
224,-96761,22174,-7129,-5110,-14971,-22049,-9037,-94021,250948
225,-96761,21839,-6507,5814,-23939,-22304,-14458,-90179,261744
226,-96697,53323,-51610,5567,-16427,-21299,-25456,-195377,439439
227,-96697,91647,-65473,4283,-33669,-18669,-47739,-374227,353666
228,-96697,92722,-65518,4280,35724,-18669,-35806,-338928,251865
229,-95905,108473,-65757,7345,-10791,-18667,-45269,-416487,201306
230,-89849,121375,-69723,9336,-48913,-7931,-9926,-458376,179727
231,-89913,121375,-114097,9337,-24229,-7931,-5277,-515795,389533
232,-89913,121514,-126533,4043,19896,-8336,2961,-513248,393317
233,-89955,121514,-137413,4285,3914,-6664,846,-493947,480166
234,-90024,121437,-139033,4232,4138,-7014,278,-489585,489291
235,-89902,121437,-139033,4251,72379,-7074,7216,-461926,391196
236,-89902,121437,-138969,7337,32955,-7074,7161,-492735,444120
237,-90131,121437,-138969,12932,-25090,-6881,-9700,-465094,526530
238,-125319,121380,-138969,15164,-17822,-6881,-279245,-381504,518714
239,-147026,121380,-138969,18460,-15803,-6881,-402657,-251870,515954
240,-132248,121380,-138969,18263,-14961,-6881,-325263,-347155,514985
241,-145376,121380,-138969,18263,-15012,-6881,-395584,-264159,515045
242,-156226,121260,-138969,24922,-14969,-6881,-438908,-182528,515036
243,-155837,105694,-138969,19257,4169,-6881,-338416,-154216,608336
244,-153831,103488,-138969,11712,55798,-6881,-322280,-175387,545274
245,-143083,103488,-138969,25061,61767,-7295,-266123,-244422,540827
246,-112886,108602,-138919,17164,36504,-7295,-144010,-382223,541318
247,-112607,118101,-138919,18294,32850,-7107,-167306,-442090,474036
248,-112685,104177,-137126,18457,37488,-7107,-130390,-357398,561867
249,-112685,64310,-71153,8758,17696,-7107,-90105,-226480,458229
250,-112685,31092,-14445,9438,-19605,-7107,-50188,-107083,284982
251,-128945,25876,-10257,17981,-28803,-7116,-72954,-68733,282656
252,-135640,25876,-16656,17548,-27907,-6807,-78775,-59072,319018
253,-135505,25876,-37954,17240,-13028,-6861,-57744,-48211,420384
